package,version,license,classification,distribution_obligation,source
csv-core,0.1.13,Unlicense/MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
ctor,0.8.0,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
ctor-proc-macro,0.0.7,Apache-2.0 OR MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
darling,0.23.0,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
darling_core,0.23.0,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
darling_macro,0.23.0,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
data-encoding,2.10.0,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
dbus,0.9.12,Apache-2.0/MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
defmt,1.1.1,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
defmt-macros,1.1.1,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
defmt-parser,1.0.0,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
deranged,0.5.8,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
derive_more,2.1.1,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
derive_more-impl,2.1.1,MIT,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
digest,0.10.7,MIT OR Apache-2.0,PERMISSIVE_OR_NOTICE,Retain applicable copyright/licence notices.,registry+https://github.com/rust-lang/crates.io-index
