package,version,source,license,cargo_checksum,classification
chrono,0.4.44,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,c673075a2e0e5f4a1dde27ce9dee1ea4558c7ffe648f576438a20ca1d2acc4b0,PERMISSIVE_OR_NOTICE
clap,4.6.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,b193af5b67834b676abd72466a96c1024e6a6ad978a1f484bd90b85c94041351,PERMISSIVE_OR_NOTICE
clap_builder,4.6.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,714a53001bf66416adb0e2ef5ac857140e7dc3a0c48fb28b2f10762fc4b5069f,PERMISSIVE_OR_NOTICE
clap_derive,4.6.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,1110bd8a634a1ab8cb04345d8d878267d57c3cf1b38d91b71af6686408bbca6a,PERMISSIVE_OR_NOTICE
clap_lex,1.1.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,c8d4a3bb8b1e0c1050499d1815f5ab16d04f0959b233085fb31653fbfc9d98f9,PERMISSIVE_OR_NOTICE
colorchoice,1.0.5,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,1d07550c9036bf2ae0c684c4297d503f838287c83c53686d05370d0e139ae570,PERMISSIVE_OR_NOTICE
combine,4.6.8,registry+https://github.com/rust-lang/crates.io-index,MIT,cfc320937d09e6de266b31b9afb480f197d7a861be86be7cb2ea7e5d1bfffc5e,PERMISSIVE_OR_NOTICE
comfy-table,7.2.2,registry+https://github.com/rust-lang/crates.io-index,MIT,958c5d6ecf1f214b4c2bbbbf6ab9523a864bd136dcf71a7e8904799acfe1ad47,PERMISSIVE_OR_NOTICE
console,0.16.3,registry+https://github.com/rust-lang/crates.io-index,MIT,d64e8af5551369d19cf50138de61f1c42074ab970f74e99be916646777f8fc87,PERMISSIVE_OR_NOTICE
cookie,0.18.2,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,1a373e3602691c3cdea496d2f0ee5935151e6168fe87739483c463db1b2f2f87,PERMISSIVE_OR_NOTICE
core-foundation,0.10.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,b2a6cd9ae233e7f62ba4e9353e81a88df7fc8a5987b8d445b4d90c879bd156f6,PERMISSIVE_OR_NOTICE
core-foundation-sys,0.8.7,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,773648b94d0e5d620f64f280777445740e61fe701025087ec8b57f45c791888b,PERMISSIVE_OR_NOTICE
core-graphics,0.25.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,064badf302c3194842cf2c5d61f56cc88e54a759313879cdf03abdd27d0c3b97,PERMISSIVE_OR_NOTICE
core-graphics-types,0.2.0,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,3d44a101f213f6c4cdc1853d4b78aef6db6bdfa3468798cc1d9912f4735013eb,PERMISSIVE_OR_NOTICE
cpufeatures,0.2.17,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,59ed5838eebb26a2bb2e58f6d5b5316989ae9d08bab10e0e6d103e656d1b0280,PERMISSIVE_OR_NOTICE
crc32fast,1.5.1,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,8498c871161e1742aaa9d52551b2d6ebdd4c3d45a3be423e3728f33b955be550,PERMISSIVE_OR_NOTICE
crossbeam-channel,0.5.16,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,d85363c37faeca707aef026efa9f3b34d077bce547e48f770770625c6013679e,PERMISSIVE_OR_NOTICE
crossbeam-utils,0.8.22,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,61803da095bee82a81bb1a452ecc25d3b2f1416d1897eb86430c6159ef717c17,PERMISSIVE_OR_NOTICE
crossterm,0.29.0,registry+https://github.com/rust-lang/crates.io-index,MIT,d8b9f2e4c67f833b660cdb0a3523065869fb35570177239812ed4c905aeff87b,PERMISSIVE_OR_NOTICE
crossterm_winapi,0.9.1,registry+https://github.com/rust-lang/crates.io-index,MIT,acdd7c62a3665c7f6830a51635d9ac9b23ed385797f70a83bb8bafe9c572ab2b,PERMISSIVE_OR_NOTICE
crypto-common,0.1.7,registry+https://github.com/rust-lang/crates.io-index,MIT OR Apache-2.0,78c8292055d1c1df0cce5d180393dc8cce0abec0a7102adb6c7b1eef6016d60a,PERMISSIVE_OR_NOTICE
cssparser,0.36.0,registry+https://github.com/rust-lang/crates.io-index,MPL-2.0,dae61cf9c0abb83bd659dab65b7e4e38d8236824c85f0f804f173567bda257d2,WEAK_COPYLEFT_FILE_LEVEL
cssparser-macros,0.6.1,registry+https://github.com/rust-lang/crates.io-index,MPL-2.0,13b588ba4ac1a99f7f2964d24b3d896ddc6bf847ee3855dbd4366f058cfcd331,WEAK_COPYLEFT_FILE_LEVEL
csv,1.4.0,registry+https://github.com/rust-lang/crates.io-index,Unlicense/MIT,52cd9d68cf7efc6ddfaaee42e7288d3a99d613d4b50f76ce9827ae0c6e14f938,PERMISSIVE_OR_NOTICE
csv-core,0.1.13,registry+https://github.com/rust-lang/crates.io-index,Unlicense/MIT,704a3c26996a80471189265814dbc2c257598b96b8a7feae2d31ace646bb9782,PERMISSIVE_OR_NOTICE
ctor,0.8.0,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,352d39c2f7bef1d6ad73db6f5160efcaed66d94ef8c6c573a8410c00bf909a98,PERMISSIVE_OR_NOTICE
ctor-proc-macro,0.0.7,registry+https://github.com/rust-lang/crates.io-index,Apache-2.0 OR MIT,52560adf09603e58c9a7ee1fe1dcb95a16927b17c127f0ac02d6e768a0e25bc1,PERMISSIVE_OR_NOTICE
darling,0.23.0,registry+https://github.com/rust-lang/crates.io-index,MIT,25ae13da2f202d56bd7f91c25fba009e7717a1e4a1cc98a76d844b65ae912e9d,PERMISSIVE_OR_NOTICE
darling_core,0.23.0,registry+https://github.com/rust-lang/crates.io-index,MIT,9865a50f7c335f53564bb694ef660825eb8610e0a53d3e11bf1b0d3df31e03b0,PERMISSIVE_OR_NOTICE
